Input,Model,Test_user,Accuracy,Precision,Recall,F1
X_final,MLP,1,0.32222222222222224,0.3167014977359805,0.32222222222222224,0.3190033984890794
X_final,MLP,2,0.2777777777777778,0.24060150375939848,0.2777777777777778,0.23626127567014268
X_final,MLP,3,0.34444444444444444,0.3395061728395061,0.34444444444444444,0.34024455077086657
X_final,MLP,4,0.3888888888888889,0.36322816967978255,0.3888888888888889,0.3407141647845366
X_final,MLP,5,0.4,0.4181286549707603,0.4,0.36988107677762855
X_final,MLP,6,0.3888888888888889,0.3888458225667528,0.3888888888888889,0.379802931987503
X_final,MLP,7,0.3888888888888889,0.3827296877876851,0.3888888888888889,0.38178546122638374
X_final,MLP,8,0.28888888888888886,0.28222807788025184,0.28888888888888886,0.2770811159490405
X_final,MLP,9,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
X_final,MLP,10,0.4111111111111111,0.42705149971703454,0.4111111111111111,0.40865395338463256
X_final,LogReg,1,0.34444444444444444,0.3472222222222222,0.34444444444444444,0.3384126984126984
X_final,LogReg,2,0.34444444444444444,0.3909229595728452,0.34444444444444444,0.31561747506019955
X_final,LogReg,3,0.37777777777777777,0.3767857142857143,0.37777777777777777,0.3769744160177976
X_final,LogReg,4,0.4111111111111111,0.42024276377217545,0.4111111111111111,0.3888514777403666
X_final,LogReg,5,0.34444444444444444,0.35190317812269034,0.34444444444444444,0.3360063764227879
X_final,LogReg,6,0.3,0.30663650075414783,0.3,0.2675903018307768
X_final,LogReg,7,0.4,0.3902032016067104,0.4,0.38336833073675175
X_final,LogReg,8,0.3,0.24245169082125603,0.3,0.23612941004245352
X_final,LogReg,9,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
X_final,LogReg,10,0.37777777777777777,0.37448240165631475,0.37777777777777777,0.35979378731686784
