Input,Feature_Selection,Selected_Features,Model,Accuracy,Precision,Recall,F1
X_feat,None,350,LogReg,0.3388888888888889,0.3370429006022227,0.3388888888888889,0.33762194532985607
X_feat,None,350,SVM,0.26666666666666666,0.2268218711963795,0.26666666666666666,0.21708033145318698
X_feat,None,350,RandomForest,0.3055555555555556,0.3074537363738597,0.3055555555555556,0.3045135278746222
X_feat,None,350,NB,0.2722222222222222,0.2596464388917219,0.2722222222222222,0.24820933217405702
X_feat,None,350,MLP,0.31666666666666665,0.31733121509536943,0.31666666666666665,0.3143283816525634
X_feat,None,350,LGBM,0.2833333333333333,0.28124725516029864,0.2833333333333333,0.27995570321151714
X_feat,Variance,255,LogReg,0.31666666666666665,0.3166726236385184,0.31666666666666665,0.3159115416077936
X_feat,Variance,255,SVM,0.2222222222222222,0.2054186930293125,0.2222222222222222,0.19411592034200936
X_feat,Variance,255,RandomForest,0.3055555555555556,0.31174603174603177,0.3055555555555556,0.30730380730380735
X_feat,Variance,255,NB,0.2611111111111111,0.24382716049382713,0.2611111111111111,0.23412698412698416
X_feat,Variance,255,MLP,0.26666666666666666,0.2662337662337662,0.26666666666666666,0.2655518394648829
X_feat,Variance,255,LGBM,0.2611111111111111,0.25976884378523724,0.2611111111111111,0.260311270824307
X_feat,Correlation,247,LogReg,0.3611111111111111,0.35887601048891377,0.3611111111111111,0.35969071308674594
X_feat,Correlation,247,SVM,0.25,0.2337269357642872,0.25,0.22080537118131105
X_feat,Correlation,247,RandomForest,0.3388888888888889,0.3436590038314176,0.3388888888888889,0.3394453004622496
X_feat,Correlation,247,NB,0.29444444444444445,0.28609955308984436,0.29444444444444445,0.27295020903636447
X_feat,Correlation,247,MLP,0.3333333333333333,0.33581411600279526,0.3333333333333333,0.3330426232311573
X_feat,Correlation,247,LGBM,0.3333333333333333,0.3312567051250682,0.3333333333333333,0.3314151846721639
X_feat,Both,160,LogReg,0.3,0.29928824177917696,0.3,0.2990415671725245
X_feat,Both,160,SVM,0.25555555555555554,0.23149205442953658,0.25555555555555554,0.22244410214063393
X_feat,Both,160,RandomForest,0.28888888888888886,0.29182792593305734,0.28888888888888886,0.288416277258567
X_feat,Both,160,NB,0.2833333333333333,0.2749267991986439,0.2833333333333333,0.2623242817738439
X_feat,Both,160,MLP,0.3277777777777778,0.3254554958183991,0.3277777777777778,0.32621744737305985
X_feat,Both,160,LGBM,0.25,0.2460230896798061,0.25,0.24679926120346068
X_final,None,303,LogReg,0.37222222222222223,0.37325974913065074,0.37222222222222223,0.3723834030731901
X_final,None,303,SVM,0.28888888888888886,0.301727207977208,0.28888888888888886,0.27765274651996336
X_final,None,303,RandomForest,0.35555555555555557,0.3587168404102043,0.35555555555555557,0.35616022764125577
X_final,None,303,NB,0.2833333333333333,0.28050177408990584,0.2833333333333333,0.26980517459763964
X_final,None,303,MLP,0.37222222222222223,0.37605115191322086,0.37222222222222223,0.3736946431277232
X_final,None,303,LGBM,0.3333333333333333,0.32778256155121827,0.3333333333333333,0.32898182171672985
X_final,Variance,259,LogReg,0.35555555555555557,0.3614287529381869,0.35555555555555557,0.35684665042110214
X_final,Variance,259,SVM,0.28888888888888886,0.3363665207183197,0.28888888888888886,0.2726723855558212
X_final,Variance,259,RandomForest,0.28888888888888886,0.28908557309013766,0.28888888888888886,0.2888906644495318
X_final,Variance,259,NB,0.3,0.2842404306220096,0.3,0.2696121927031682
X_final,Variance,259,MLP,0.3055555555555556,0.29941840903628936,0.3055555555555556,0.3006046584993953
X_final,Variance,259,LGBM,0.35555555555555557,0.3562850729517396,0.35555555555555557,0.3553188526872737
X_final,Correlation,169,LogReg,0.37777777777777777,0.37842046718576194,0.37777777777777777,0.37803093451884784
X_final,Correlation,169,SVM,0.31666666666666665,0.3275971619188817,0.31666666666666665,0.28603659064136777
X_final,Correlation,169,RandomForest,0.3388888888888889,0.3371433659952995,0.3388888888888889,0.33634791111173296
X_final,Correlation,169,NB,0.28888888888888886,0.2740837317108503,0.28888888888888886,0.2531791655779113
X_final,Correlation,169,MLP,0.3888888888888889,0.381523569023569,0.3888888888888889,0.3816953655663333
X_final,Correlation,169,LGBM,0.36666666666666664,0.3621509209744504,0.36666666666666664,0.3633563877466317
X_final,Both,125,LogReg,0.37777777777777777,0.38541105207771875,0.37777777777777777,0.37921919225925504
X_final,Both,125,SVM,0.3,0.2919472502805836,0.3,0.2632658130110932
X_final,Both,125,RandomForest,0.37777777777777777,0.3719689896160484,0.37777777777777777,0.3738686421613251
X_final,Both,125,NB,0.32222222222222224,0.2988279744004935,0.32222222222222224,0.2631935851765089
X_final,Both,125,MLP,0.3277777777777778,0.3242791535867922,0.3277777777777778,0.32348549213460004
X_final,Both,125,LGBM,0.36666666666666664,0.36498230253353203,0.36666666666666664,0.3654781913228936
